"","Italy","France","Poland","Germany","United Kingdom","Iberia","Russia","Belgium","Netherlands","Scandinavia"
"Italy",Inf,10.2529179977767,12.9210996992618,9.00073519802351,13.7617387517793,15.3174897942083,28.9597461912196,9.88395459370902,10.7023838999529,16.9849858921387
"France",10.2529179977767,Inf,18.9816432807013,11.6231392045837,3.62889272683022,10.378952709036,35.9348417717901,2.82195680346456,4.3509581923248,18.8866177658338
"Poland",12.9210996992618,18.9816432807013,Inf,7.65588009310491,21.1727225169757,27.3957464158593,16.957874224835,16.736997959444,16.1341941919084,7.70591886610385
"Germany",9.00073519802351,11.6231392045837,7.65588009310491,Inf,13.5484905228414,20.9265701525296,24.4499590638784,9.18394526848012,8.48438107478776,8.2683595050235
"United Kingdom",13.7617387517793,3.62889272683022,21.1727225169757,13.5484905228414,Inf,11.6471627578836,37.9836371467383,4.52843611437487,5.10326630002905,19.8062015556169
"Iberia",15.3174897942083,10.378952709036,27.3957464158593,20.9265701525296,11.6471627578836,Inf,44.0648954948166,13.1701038645284,14.7298825589547,28.8293407747407
"Russia",28.9597461912196,35.9348417717901,16.957874224835,24.4499590638784,37.9836371467383,44.0648954948166,Inf,33.6255650211834,32.8911346561055,19.8731128345456
"Belgium",9.88395459370902,2.82195680346456,16.736997959444,9.18394526848012,4.52843611437487,13.1701038645284,33.6255650211834,Inf,1.63128804766123,16.1272819420847
"Netherlands",10.7023838999529,4.3509581923248,16.1341941919084,8.48438107478776,5.10326630002905,14.7298825589547,32.8911346561055,1.63128804766123,Inf,14.88827653436
"Scandinavia",16.9849858921387,18.8866177658338,7.70591886610385,8.2683595050235,19.8062015556169,28.8293407747407,19.8731128345456,16.1272819420847,14.88827653436,Inf
